Feature,Coefficient
love,5.467584470282507
men,3.6700418481439248
life,3.4746737040668565
watches,3.3356974141713067
replica,2.9718794538383055
health,2.96256129250236
ecard,2.8669872042119344
enhancement,2.351494776605389
offer,2.185660438160641
cy,2.141169280101042
sex,2.125471402523692
watch,1.9530655257357599
pleasure,1.9386139643505875
inches,1.9178701385191204
ge,1.9132420629002902
dimension,1.885772902409204
soros,1.8826302311967167
girls,1.876268913600225
pills,1.871619626582284
medications,1.864319994905769
